Pavadinimas,Metai,Trukmė,Žanras,Reitingas
Precious, 2009,110 ,Drama,7.3
A Pigeon Sat on a Branch Reflecting on Existence,2014,101 ,"Comedy, Drama, Fantasy",6.9
Flanders,2006,91 ,"Drama, Romance, War",6.5
Samson & Delilah, 2009,101 ,"Drama, Romance",7.0
An Education,2009,100 ,Drama,7.3
Jackie,V 2016,100 ,"Biography, Drama",6.7
Martyrs,2008,99 ,Horror,7.0
His Brother,2003,92 ,"Drama, Romance",6.9
Thirteen,2003,100 ,Drama,6.8
Under the Tuscan Sun,2003,113 ,"Comedy, Drama, Romance",6.7
Ong-Bak: The Thai Warrior,2003,105 ,"Action, Crime, Thriller",7.1
Shattered Glass,2003,94 ,"Drama, History",7.1
"Good Morning, Night",2003,106 ,Drama,7.1
Cowards Bend the Knee,2003,60 ,"Drama, Romance",6.9
Elf,2003,97 ,"Adventure, Comedy, Family",7.1
High Tension,2003,91 ,Horror,6.7
Time of the Wolf,2003,114 ,Drama,6.5
The Flower of Evil,2003,104 ,"Drama, Thriller",6.4
Identity,2003,90 ,"Mystery, Thriller",7.3
The United States of Leland,2003,108 ,Drama,7.0
Seducing Doctor Lewis,2003,108 ,"Comedy, Drama",7.3
Berlin Blues,2003,105 ,"Comedy, Drama",7.1
The Story of the Weeping Camel,2003,93 ,"Documentary, Drama, Family",7.4
Miracle,2004,135 ,"Biography, Drama, History",7.4
The Edukators,2004,127 ,"Drama, Romance",7.4
In My Father's Den,2004,127 ,"Drama, Mystery, Thriller",7.4
Control Room,2004,84 ,Documentary,7.7
Walk on Water,2004,103 ,"Drama, Mystery, Thriller",7.3
The Merchant of Venice,2004,131 ,"Drama, Romance",7.0
Napoleon Dynamite,2004,96 ,Comedy,7.0
Melancholian 3 huonetta,2004,106 ,"Documentary, War",7.1
Look at Me,2004,110 ,"Comedy, Drama, Music",6.8
I Heart Huckabees,2004,107 ,Comedy,6.5
4,2004,126 ,"Drama, Mystery, Sci-Fi",6.5
The Village,2004,108 ,"Drama, Mystery, Thriller",6.6
Millions,2004,98 ,"Comedy, Crime, Drama",6.8
Yes, 2004,100 ,"Drama, Romance",6.4
Friday Night Lights,2004,118 ,"Action, Drama, Sport",7.2
Mean Creek,2004,90 ,"Crime, Drama",7.1
The Woodsman,2004,87 ,Drama,7.2
Wesele,2004,109 ,"Comedy, Drama",7.7
Syrian Bride,2004,97 ,"Comedy, Drama",7.4
The Ister,2004,189 ,Documentary,7.0
The Assassination of Richard Nixon,2004,95 ,"Biography, Crime, Drama",6.9
Dig!,2004,107 ,"Documentary, Music",7.7
The Outsiders,1983,91 ,"Crime, Drama",7.0
10 Things I Hate About You,1999,97 ,"Comedy, Drama, Romance",7.3
The Lovely Bones,2009,135 ,"Drama, Fantasy, Thriller",6.6
Shooter, 2007,124 ,"Action, Drama, Thriller",7.1
Willow,1988,126 ,"Action, Adventure, Drama",7.2
Houseboat,1958,110 ,"Comedy, Drama, Family",6.6
Mr. Brooks,2007,120 ,"Crime, Drama, Mystery",7.3
"Kiss Me, Stupid",1964,125 ,"Comedy, Romance",6.9
Underworld,2003,121 ,"Action, Fantasy, Thriller",7.0
Cheaper by the Dozen,1950,86 ,"Comedy, Drama, Family",7.0
Layer Cake,2004,105 ,"Action, Crime, Drama",7.3
Out of Sight,1998,123 ,"Comedy, Crime, Drama",7.0
Sex and the Single Girl,1964,110 ,"Comedy, Romance",6.4
"Yours, Mine and Ours",1968,111 ,"Comedy, Family",7.1
The Darjeeling Limited,2007,91 ,"Adventure, Comedy, Drama",7.2
Peter Pan,2003,113 ,"Adventure, Family, Fantasy",6.8
Zombieland,2009,88 ,"Action, Comedy, Horror",7.6
Demolition Man,1993,115 ,"Action, Sci-Fi, Thriller",6.7
RocknRolla,2008,114 ,"Action, Crime, Thriller",7.2
The Doors,1991,140 ,"Biography, Drama, Music",7.2
Hellboy,2004,122 ,"Action, Adventure, Fantasy",6.8
Hellboy II: The Golden Army,2008,120 ,"Action, Adventure, Fantasy",7.0
The Jungle Book,1967,78 ,"Animation, Adventure, Comedy",7.6
The Rainmaker,1997,135 ,"Crime, Drama, Thriller",7.2
Swordfish,2001,99 ,"Action, Crime, Thriller",6.5
In the Line of Fire,1993,128 ,"Action, Crime, Drama",7.2
Star Trek: First Contact,1996,111 ,"Action, Adventure, Drama",7.6
"Good Morning, Vietnam",1987,121 ,"Biography, Comedy, Drama",7.3
The Quick and the Dead,1995,108 ,"Action, Drama, Romance",6.5
Room for One More,1952,98 ,"Comedy, Drama, Family",7.1
The Hanging Tree,1959,107 ,Western,7.1
The Son of the Sheik,1926,68 ,"Adventure, Drama, Romance",6.6
The Covered Wagon,1923,98 ,"Adventure, Romance, Western",6.6
The Racket,1928,84 ,"Crime, Drama, Film-Noir",6.6
The Virginian,1929,91 ,"Romance, Western",6.7
Four Rooms,1995,98 ,Comedy,6.7
Crazy Heart,2009,112 ,"Drama, Music, Romance",7.2
Love Story,1970,100 ,"Drama, Romance",6.9
Arlington Road,1999,117 ,"Action, Crime, Drama",7.2
The Pink Panther,1963,115 ,"Comedy, Crime, Romance",7.0
Seven Years in Tibet,1997,136 ,"Adventure, Biography, Drama",7.1
Las Hurdes,1933,30 ,"Documentary, Short",7.3
Viva Villa!,1934,115 ,Western,6.3
The Hurricane,1937,104 ,"Action, Adventure, Drama",7.2
They Won't Forget,1937,95 ,"Drama, Film-Noir, Mystery",7.2
Boys Town,1938,96 ,"Biography, Drama, Family",7.2
The Citadel,1938,110 ,Drama,7.0
Drums Along the Mohawk,1939,104 ,"Drama, Romance, War",7.0
Cabin in the Sky,1943,98 ,"Comedy, Drama, Fantasy",7.1
Madame Curie,1943,124 ,"Biography, Drama, Romance",7.2
A Double Life,1947,104 ,"Crime, Drama, Film-Noir",7.0
The Farmer's Daughter,1947,97 ,"Comedy, Drama, Romance",7.2
Secret Beyond the Door...,1947,99 ,"Drama, Film-Noir, Mystery",6.7
The Secret Life of Walter Mitty,1947,110 ,"Comedy, Fantasy, Romance",6.9
Beyond the Forest,1949,97 ,"Drama, Film-Noir, Romance",6.8
The Greatest Show on Earth,1952,152 ,"Drama, Family, Romance",6.5
Night and Fog,1956,32 ,"Documentary, Short, History",8.6
The Rose Tattoo,1955,117 ,"Comedy, Drama, Romance",6.9
High Society,1956,111 ,"Comedy, Musical, Romance",6.9
The Man in the Gray Flannel Suit,1956,153 ,"Drama, Romance, War",7.1
The Sundowners,1960,133 ,Drama,7.1
Gypsy,1962,143 ,"Biography, Comedy, Drama",7.1
Topkapi,1964,120 ,"Adventure, Comedy, Crime",6.9
Alfie,1966,114 ,"Comedy, Drama",7.0
Born Free,1966,95 ,"Adventure, Biography, Drama",7.2
Welcome to Dongmakgol,2005,133 ,"Comedy, Drama, War",7.6
Earthlings,2005,95 ,Documentary,8.6
Tsotsi,2005,94 ,"Crime, Drama",7.2
Black Sun,2005,75 ,Documentary,7.1
The Shutka Book of Records,2005,78 ,Documentary,8.1
Hustle & Flow,2005,116 ,"Crime, Drama, Music",7.3
The Birth of a Nation,1915,195 ,"Drama, History, War",6.1
Passport to Pimlico,1949,84 ,Comedy,7.1
Nightwatching,2007,134 ,"Biography, Drama, History",6.5
Beauties of the Night,1952,87 ,"Comedy, Fantasy, Music",6.9
Bread and Tulips,2000,114 ,"Comedy, Romance",7.3
All the Invisible Children,2005,124 ,Drama,7.4
The End of the Affair,1999,102 ,"Drama, Romance",7.0
Seven Psychopaths,2012,110 ,"Comedy, Crime",7.1
The Spiders - Episode 1: The Golden Sea,1919,130 ,"Adventure, Western",6.5
The Curse of Frankenstein,1957,82 ,"Horror, Sci-Fi, Thriller",7.0
The Spirit of St. Louis,1957,135 ,"Adventure, Biography, Drama",7.1
The Green Man,1956,80 ,"Comedy, Crime",7.1
Mexican Bus Ride,1952,74 ,Comedy,6.9
The Song of Sparrows,2008,96 ,"Drama, Family",7.9
God Grew Tired of Us,2006,89 ,Documentary,7.9
Savage Souls,2001,120 ,"Drama, Romance",6.2
Charlie: The Life and Art of Charles Chaplin,2003,132 ,"Documentary, Biography",7.9
Sword of the Stranger,2007,103 ,"Animation, Action, Adventure",7.8
Shelter, 2007,97 ,"Drama, Romance, Sport",7.6
The Secret World of Arrietty,2010,94 ,"Animation, Adventure, Drama",7.6
The Wave,2008,107 ,"Drama, Thriller",7.6
Boy A,2007,106 ,Drama,7.6
Fearless,2006,104 ,"Action, Biography, Drama",7.6
The Counterfeiters,2007,99 ,"Crime, Drama, History",7.5
Public Speaking,2010,84 ,Documentary,7.6
Troubled Water,2008,115 ,"Drama, Music",7.6
Sita Sings the Blues,2008,82 ,"Animation, Comedy, Fantasy",7.6
Princes and Princesses,2000,70 ,"Animation, Comedy, Family",7.6
Toss-Up,2004,102 ,Drama,7.6
The Night Strangler,1973 ,74 ,"Crime, Horror, Mystery",7.3
The She-Butterfly,1973 ,63 ,"Drama, Horror",6.8
The Count of Monte-Cristo,1975 ,103 ,"Adventure, Drama, History",6.9
Love Among the Ruins,1975 ,100 ,"Comedy, Drama, Romance",7.7
A Christmas Carol,1984 ,100 ,"Drama, Family, Fantasy",7.8
The Final Solution: The Wannsee Conference,1984 ,87 ,"Drama, History",7.7
Dva sata kvalitetnog TV programa,1994 ,120 ,"Comedy, Musical",8.4
Holocaust,1978,475 ,"Drama, History, Romance",8.0
Jane Eyre,1983,239 ,"Drama, Romance",8.0
Dave Chappelle's Block Party,2005,103 ,"Documentary, Comedy, Music",7.2
Tristram Shandy,2005,94 ,Comedy,6.7
The Jacket,2005,103 ,"Drama, Fantasy, Mystery",7.1
Factotum,2005,94 ,"Comedy, Drama, Romance",6.6
Man Push Cart,2005,87 ,Drama,7.0
Four Minutes,2006,112 ,"Drama, Music",7.3
The Hills Have Eyes,2006,107 ,"Horror, Thriller",6.4
Bobby, 2006,117 ,"Biography, Drama, History",7.0
Breaking and Entering,2006,120 ,"Crime, Drama, Romance",6.5
Days of Glory,2006,120 ,"Action, Drama, War",7.0
Infamous,2006,110 ,"Biography, Crime, Drama",7.0
Scoop,2006,96 ,"Comedy, Crime, Fantasy",6.6
Find Me Guilty,2006,125 ,"Biography, Comedy, Crime",7.0
Unknown, 2006,85 ,"Crime, Drama, Mystery",6.4
The Family Friend,2006,102 ,Drama,7.1
I Just Didn't Do It,2006,143 ,Drama,7.6
House of Sand,2005,115 ,Drama,7.3
The Free Will,2006,163 ,"Crime, Drama",7.4
Exiled,2006,110 ,"Action, Crime, Drama",7.2
The Devil Came on Horseback,2007,85 ,Documentary,7.7
Interview, 2007,84 ,Drama,6.8
Nanking,2007,88 ,"Biography, History, War",7.7
Waitress,2007,108 ,"Comedy, Drama, Romance",7.0
Two Days in Paris,2007,96 ,"Comedy, Drama, Romance",6.7
Shotgun Stories,2007,92 ,"Drama, Thriller",7.1
Bridge to Terabithia,2007,96 ,"Drama, Family, Fantasy",7.2
The Class,2007,99 ,Drama,7.9
Breach,2007,110 ,"Biography, Crime, Drama",7.0
Santiago,2007,80 ,Documentary,7.9
Planet Terror,2007,105 ,"Action, Comedy, Horror",7.0
Taxi to the Dark Side,2007,106 ,"Documentary, Crime, History",7.5
The Air I Breathe,2007,95 ,"Crime, Drama, Thriller",6.7
Charlie Bartlett,2007,97 ,"Comedy, Drama, Romance",6.9
Love Songs,2007,91 ,"Drama, Musical, Romance",7.0
Chop Shop,2007,84 ,Drama,7.2
Alexandra,2007,95 ,"Drama, War",6.8
We Own the Night,2007,117 ,"Action, Crime, Drama",6.8
Cassandra's Dream,2007,108 ,"Crime, Drama, Romance",6.6
Secret,2007,101 ,"Drama, Music, Romance",7.5
Mongol: The Rise of Genghis Khan,2007,126 ,"Action, Biography, Drama",7.2
Ben X,2007,93 ,"Drama, Thriller",7.3
Sleuth,2007,88 ,"Crime, Drama, Mystery",6.4
Lars and the Real Girl,2007,106 ,"Comedy, Drama, Romance",7.3
Timecrimes,2007,92 ,"Horror, Mystery, Sci-Fi",7.1
Up the Yangtze,2007,93 ,Documentary,7.5
Surfwise,2007,93 ,"Documentary, Sport",7.1
Monsters,2010,94 ,"Adventure, Drama, Romance",6.4
Room in Rome,2010,107 ,"Drama, Romance",6.1
Somewhere,2010,97 ,"Comedy, Drama, Romance",6.3
Shortbus,2006,101 ,"Comedy, Drama, Romance",6.4
Kill List,2011,95 ,"Action, Crime, Drama",6.4
45 Years,2015,95 ,"Drama, Romance",7.1
"Norte, the End of History",2013,250 ,"Crime, Drama",7.5
Clouds of Sils Maria,2014,124 ,Drama,6.7
Last Train Home,2009,85 ,"Documentary, Drama",7.6
The Duke of Burgundy,2014,104 ,"Drama, Romance",6.5
Cemetery of Splendor,2015,122 ,"Drama, Fantasy, Mystery",6.8
Museum Hours,2012,107 ,Drama,6.9
Quei loro incontri,2006,68 ,Drama,6.7
The Time That Remains,2009,109 ,"Drama, History",7.0
The Interrupters,2011,125 ,"Documentary, Crime",7.5
Miami Vice,2006,132 ,"Action, Crime, Drama",6.1
Snowpiercer,2013,126 ,"Action, Drama, Sci-Fi",7.1
The Diary of a Teenage Girl,2015,102 ,"Comedy, Drama, Romance",6.8
Yellow Earth,1984,89 ,"Drama, History, Music",7.1
Passion,1982,88 ,"Comedy, Drama",6.2
Hallelujah,1929,109 ,"Drama, Musical",6.7
Yesterday Girl,1966,88 ,Drama,7.0
The Horse Ate the Hat,1928,108 ,Comedy,6.9
While the City Sleeps,1956,100 ,"Crime, Drama, Film-Noir",6.9
Judex,1963,98 ,"Crime, Drama, Thriller",7.1
American Gigolo,1980,117 ,"Crime, Drama, Mystery",6.3
The Pillow Book,1995,126 ,Drama,6.5
The Four Horsemen of the Apocalypse,1962,153 ,"Drama, War",6.6
Luna,1979,142 ,Drama,6.4
White Shadows in the South Seas,1928,88 ,"Drama, Romance",6.8
Riff-Raff,1991,95 ,"Comedy, Drama",7.0
Hour of the Star,1985,96 ,Drama,7.3
The Naked and the Dead,1958,131 ,"Drama, War",6.4
At 3:25,1925,59 ,Sci-Fi,7.1
War and Peace,1956,208 ,"Drama, Romance, War",6.7
Inferno,1980,106 ,Horror,6.5
Perceval,1978,140 ,"Drama, Music, Romance",6.9
Artists and Models,1955,109 ,"Comedy, Musical, Romance",6.5
Forever Amber,1947,138 ,"Adventure, Drama, Romance",6.5
Up the Junction,1968,119 ,Drama,6.9
Car Wash,1976,97 ,"Comedy, Drama, Romance",6.2
A King in New York,1957,105 ,"Comedy, Drama",7.0
Chasing Amy,1997,113 ,"Comedy, Drama, Romance",7.2
Lilith,1964,114 ,Drama,6.8
Orchestra Rehearsal,1978,72 ,"Comedy, Drama, Music",7.1
Favourites of the Moon,1984,101 ,"Comedy, Crime, Drama",6.9
Intervista,1987,105 ,"Comedy, Drama, Fantasy",7.0
Henry Fool,1997,137 ,"Comedy, Drama",7.1
My Beautiful Laundrette,1985,97 ,"Comedy, Drama, Romance",6.8
Shampoo,1975,110 ,"Comedy, Drama",6.4
Romeo + Juliet,1996,120 ,"Drama, Romance",6.7
The Beyond,1981,87 ,Horror,6.6
The Carabineers,1963,80 ,"Comedy, Drama, War",6.7
A Room in Town,1982,90 ,"Drama, Musical, Romance",6.8
One from the Heart,1981,107 ,"Drama, Musical, Romance",6.5
Calendar,1993,74 ,"Comedy, Drama, Romance",6.7
Brigadoon,1954,108 ,"Fantasy, Musical, Romance",6.8
Outcast of the Islands,1951,93 ,"Adventure, Drama",6.9
Days of Eclipse,1988,139 ,"Drama, Sci-Fi",7.0
King of New York,1990,103 ,"Crime, Thriller",6.9
Tommy,1975,111 ,"Drama, Musical",6.6
The Reunion,2013,90 ,Drama,6.8
Kingdom of Heaven,2005,144 ,"Action, Adventure, Drama",7.2
The Crimson Kimono,1959,82 ,"Crime, Drama, Mystery",6.8
Don't Bother to Knock,1952,76 ,"Drama, Film-Noir, Mystery",6.9
Underworld U.S.A.,1961,99 ,"Crime, Drama, Thriller",7.3
First Reformed,2017,113 ,"Drama, Mystery, Thriller",7.1
eXistenZ,1999,97 ,"Horror, Mystery, Sci-Fi",6.8
Time Without Pity,1957,85 ,"Crime, Drama, Film-Noir",6.8
Raw,2016,99 ,"Drama, Horror",7.0
Vice, 2018,132 ,"Biography, Comedy, Drama",7.2
The Age of Adaline,2015,112 ,"Drama, Fantasy, Romance",7.2
American Sniper,2014,133 ,"Action, Biography, Drama",7.3
Gerald's Game,2017,103 ,"Drama, Horror, Thriller",6.5
Looper,2012,119 ,"Action, Drama, Sci-Fi",7.4
They Shall Not Grow Old, 2018,99 ,"Documentary, History, War",8.2
One Day,2011,107 ,"Drama, Romance",7.0
Logan Lucky,2017,118 ,"Action, Comedy, Crime",7.0
"Love, Simon",2018,110 ,"Comedy, Drama",7.5
We Bought a Zoo,2011,124 ,"Comedy, Drama, Family",7.0
The Big Sick,2017,120 ,"Comedy, Drama, Romance",7.5
Atomic Blonde,2017,115 ,"Action, Thriller",6.7
Steve Jobs,2015,122 ,"Biography, Drama",7.2
Mudbound,2017,134 ,"Drama, War",7.4
Young & Beautiful,2013,95 ,"Drama, Romance",6.7
A Most Violent Year,2014,125 ,"Action, Crime, Drama",7.0
Margin Call,2011,107 ,"Drama, Thriller",7.1
Stoker,2013,99 ,"Drama, Thriller",6.7
Fences,2016,139 ,Drama,7.2
Side Effects, 2013,106 ,"Crime, Drama, Mystery",7.1
Enough Said,2013,93 ,"Comedy, Drama, Romance",7.0
This Must Be the Place,2011,118 ,"Adventure, Comedy, Drama",6.7
Carnage,2011,80 ,"Comedy, Drama",7.1
The Railway Man,2013,116 ,"Biography, Drama, Romance",7.1
The Way, 2010,123 ,"Comedy, Drama",7.3
In the House,2012,105 ,"Drama, Mystery, Thriller",7.3
Lucky, 2017,88 ,"Comedy, Drama",7.3
Love & Mercy,2014,121 ,"Biography, Drama, Music",7.4
Rabbit Hole,2010,91 ,Drama,7.0
Venus in Fur,2013,96 ,Drama,7.1
Hell,2010,149 ,"Action, Comedy, Crime",7.7
Days,1963,79 ,"Drama, Romance",7.3
Sveti pesak,1968,83 ,Drama,6.6
Wolf of Prokletije,1968,85 ,War,7.5
This Crazy World of Ours,1970,71 ,"Drama, Romance",6.2
The Master and Margaret,1972,95 ,"Drama, Fantasy, Horror",6.2
Man on a Tightrope,1953,105 ,"Drama, Thriller",7.2
Variety Lights,1950,97 ,"Drama, Music, Romance",7.1
Ringing Bell,1978,47 ,"Animation, Drama, Family",7.1
The Sidewalks of London,1938,85 ,Comedy,6.9
A Woman's Face,1938,100 ,Drama,7.0
The Hit,1984,98 ,"Crime, Drama, Thriller",7.0
Greed in the Sun,1964,122 ,"Action, Adventure, Comedy",7.0
The Devil's Eye,1960,87 ,"Comedy, Drama, Fantasy",7.1
Bye Bye Brazil,1980,110 ,Drama,7.4
Will Penny,1967,108 ,"Drama, Romance, Western",7.1
Seven Days from Now,1957,100 ,"Adventure, Drama, Thriller",7.5
Kubo and the Two Strings,2016,101 ,"Animation, Action, Adventure",7.7
Rat Race,2001,112 ,"Action, Adventure, Comedy",6.5
Reign Over Me,2007,124 ,Drama,7.4
The Running Man,1987,101 ,"Action, Sci-Fi, Thriller",6.7
Felon,2008,104 ,"Crime, Thriller",7.4
Everything Is Illuminated,2005,106 ,"Comedy, Drama",7.4
Conviction, 2010,107 ,"Biography, Crime, Drama",7.2
From Up on Poppy Hill,2011,91 ,"Animation, Comedy, Drama",7.4
When Marnie Was There,2014,103 ,"Animation, Drama, Family",7.6
The Believer,2001,98 ,Drama,7.1
The Exorcist III,1990,110 ,"Drama, Horror, Mystery",6.5
Things We Lost in the Fire,2007,118 ,Drama,7.1
Colors,1988,120 ,"Action, Crime, Drama",6.7
Evangelion: 1.0 You Are (Not) Alone,2007,98 ,"Animation, Action, Drama",7.5
Clockers,1995,128 ,"Crime, Drama, Mystery",6.9
José and Pilar,2010,117 ,"Documentary, Biography",8.2
Udaan,2010,134 ,Drama,8.1
Rush: Beyond the Lighted Stage,2010,107 ,"Documentary, Biography, Music",8.4
The Two Escobars,2010,104 ,"Documentary, Biography, Sport",8.1
Elite Squad 2: The Enemy Within,2010,115 ,"Action, Crime, Drama",8.0
Bill Cunningham: New York,2010,84 ,"Documentary, Biography, History",7.9
Carandiru,2003,145 ,"Crime, Drama",7.6
Jean-Michel Basquiat: The Radiant Child,2010,88 ,Documentary,7.7
The Japanese Wife,2010,105 ,"Drama, Romance",7.6
Thunder Soul,2010,83 ,"Documentary, Music",7.6
Oki's Movie,2010,80 ,"Comedy, Drama",6.8
Let the Bullets Fly,2010,132 ,"Action, Comedy, Drama",7.3
Cold Fish,2010,146 ,"Crime, Drama, Horror",7.1
Honey,2010,103 ,Drama,7.1
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116 ,"Documentary, Biography, Music",7.6
The Yellow Sea,2010,136 ,"Action, Crime, Drama",7.3
White God,2014,121 ,"Adventure, Drama, Thriller",6.8
The Saphead,1920,77 ,"Comedy, Drama, Romance",6.1
Loose Cannons,2010,110 ,"Comedy, Drama, Romance",7.2
Heartbeats,2010,101 ,"Drama, Romance",7.0
My Joy,2010,127 ,Drama,6.8
Gainsbourg: A Heroic Life,2010,135 ,"Biography, Drama, Music",6.9
A Screaming Man,2010,92 ,Drama,6.7
Klown,2010,93 ,Comedy,7.1
Point Blank,2010,84 ,"Action, Crime, Drama",6.8
The Life of Fish,2010,84 ,"Drama, Romance",6.7
The Whistleblower,2010,112 ,"Biography, Crime, Drama",7.1
The Mysterious Lady,1928,96 ,"Drama, Romance",7.2
Ganga Bruta,1933,82 ,Drama,7.0
A Song of Lisbon,1933,85 ,"Comedy, Musical",7.7
Little White Lies,2010,154 ,"Comedy, Drama",7.1
The First Grader,2010,103 ,"Biography, Drama, Romance",7.4
Tales of Terror,1962,89 ,"Comedy, Horror, Mystery",6.8
Infernal Affairs II,2003,119 ,"Action, Crime, Drama",7.3
Iris, 2001,91 ,"Biography, Drama, Romance",7.0
Barefoot in the Park,1967,106 ,"Comedy, Romance",7.0
The Day of the Beast,1995,99 ,"Action, Comedy, Crime",7.3
Moby Dick,1956,116 ,"Adventure, Drama",7.3
Lord of the Flies,1963,92 ,"Adventure, Drama, Thriller",6.9
Like Water for Chocolate,1992,105 ,"Drama, Romance",7.1
Ghost in the Shell 2.0,2008,83 ,"Animation, Action, Crime",7.8
Operation Petticoat,1959,124 ,"Comedy, Romance, War",7.2
The Aura,2005,134 ,"Crime, Drama, Thriller",7.1
George Harrison: Living in the Material World,2011,208 ,"Documentary, Biography, Music",8.1
Pariah, 2011,86 ,Drama,7.2
In the Family,2011,169 ,"Drama, Romance",7.1
Paradise Lost 3: Purgatory,2011,121 ,"Documentary, Crime",8.0
Shapito-shou: Lyubov i druzhba,2011,107 ,"Comedy, Musical",7.6
The Day He Arrives,2011,79 ,"Comedy, Drama",7.0
House of Tolerance,2011,122 ,Drama,6.7
Stopped on Track,2011,110 ,Drama,7.6
Blood of My Blood,2011,131 ,"Drama, Thriller",7.3
The Music Never Stopped,2011,105 ,"Drama, Music",7.5
"I, Tonya",2017,119 ,"Biography, Comedy, Drama",7.5
The Girl on the Train,2016,112 ,"Crime, Drama, Mystery",6.5
Rebecca of Sunnybrook Farm,1938,81 ,"Comedy, Drama, Family",7.0
I'll Be Seeing You,1944,85 ,"Drama, Family, Romance",7.1
The Bachelor and the Bobby-Soxer,1947,95 ,"Comedy, Romance",7.2
You Are the Apple of My Eye,2011,109 ,"Comedy, Drama, Romance",7.6
Bullhead,2011,129 ,"Crime, Drama",7.3
Rose,2011,90 ,"Drama, War",7.5
Life in a Day,2011,95 ,"Documentary, Drama",7.6
The Painting,2011,80 ,"Animation, Adventure, Drama",7.3
Play, 2011,118 ,Drama,7.1
Love and Doves,1985,107 ,"Comedy, Drama, Romance",7.9
How Czar Peter the Great Married Off His Moor,1976,100 ,"Musical, Romance",7.2
Rozygrysh,1977,96 ,"Drama, Musical, Romance",7.1
Footnote,2011,107 ,"Comedy, Drama",7.1
Goodbye First Love,2011,110 ,"Drama, Romance",6.6
The Muppets,2011,103 ,"Adventure, Comedy, Family",7.1
Faust, 2011,140 ,"Drama, Fantasy, Mystery",6.5
For Lovers Only,2011,87 ,"Comedy, Drama, Romance",6.9
Michael, 2011,96 ,"Drama, Thriller",6.9
Another Earth,2011,92 ,"Drama, Mystery, Romance",6.9
Super 8,2011,112 ,"Action, Mystery, Sci-Fi",7.0
The Ides of March,2011,101 ,"Drama, Thriller",7.1
Remembrance,2011,105 ,"Drama, Romance, Thriller",7.2
Warriors of the Rainbow: Seediq Bale I,2011,144 ,"Action, Drama, History",7.5
One Life, 2011,85 ,"Documentary, Family",7.9
The Iron Lady,2011,105 ,"Biography, Drama",6.4
Sands of Iwo Jima,1949,100 ,"Action, Drama, Romance",7.0
Dead Reckoning,1946,100 ,"Crime, Drama, Film-Noir",7.1
Penny Serenade,1941,119 ,"Drama, Romance",7.0
A Night in Casablanca,1946,85 ,"Comedy, Family",6.9
He Walked by Night,1948,79 ,"Crime, Film-Noir, Thriller",7.1
Thirty Seconds Over Tokyo,1944,138 ,"Drama, History, War",7.2
The Thin Man Goes Home,1944,100 ,"Film-Noir, Mystery",7.3
The Man Who Planted Trees,1987,30 ,"Animation, Short, Drama",8.5
Lured,1947,102 ,"Crime, Drama, Film-Noir",7.0
Holiday Affair,1949,87 ,"Comedy, Drama, Family",7.1
Too Late for Tears,1949,99 ,"Crime, Film-Noir",7.3
Tales of Manhattan,1942,118 ,"Comedy, Drama, Romance",7.3
A Stolen Life,1946,109 ,Drama,7.2
Torment,1944,95 ,"Drama, Romance",7.3
"Larceny, Inc",1942,95 ,Comedy,7.3
City for Conquest,1940,104 ,"Drama, Sport",7.2
Between Two Worlds,1944,112 ,"Mystery, Drama, Fantasy",7.1
The Verdict,1946,86 ,"Crime, Drama, Film-Noir",7.2
The Three Musketeers,1948,125 ,"Action, Adventure, Drama",7.1
Life with Father,1947,118 ,"Comedy, Family",7.1
Pinky,1949,102 ,Drama,7.2
Command Decision,1948,112 ,"Action, Drama, War",7.3
The Face Behind the Mask,1941,69 ,"Crime, Drama, Film-Noir",7.1
Gangs of Wasseypur,2012,321 ,"Action, Comedy, Crime",8.2
Elena, 2012,80 ,"Documentary, Biography, Drama",7.5
How to Survive a Plague,2012,110 ,"Documentary, History, News",7.6
Ship of Theseus,2012,140 ,Drama,8.0
Consuming Spirits,2012,136 ,"Animation, Comedy, Drama",7.5
A World Not Ours,2012,93 ,"Documentary, Biography, History",7.9
The Central Park Five,2012,119 ,"Documentary, Crime, History",7.7
56 Up,2012,144 ,Documentary,7.9
Kahaani,2012,122 ,"Mystery, Thriller",8.1
Neighboring Sounds,2012,131 ,"Drama, Thriller",7.1
The Place Beyond the Pines,2012,140 ,"Crime, Drama, Thriller",7.3
The Kirishima Thing,2012,103 ,Drama,7.2
Marley,2012,144 ,"Documentary, Biography, Music",7.9
Drug War,2012,107 ,"Action, Crime, Drama",7.0
Harry Dean Stanton: Partly Fiction,2012,77 ,"Documentary, Biography",7.4
The Gatekeepers,2012,101 ,"Documentary, History, War",7.6
7 Boxes,2012,105 ,"Adventure, Crime, Drama",7.1
Barbara, 2012,105 ,Drama,7.2
Mud,2012,130 ,"Adventure, Drama",7.4
More Than Honey,2012,95 ,Documentary,7.5
Brooklyn Castle,2012,101 ,Documentary,7.2
Caesar Must Die,2012,77 ,Drama,7.3
Living,2012,119 ,Drama,7.2
Lore,2012,109 ,"Drama, Romance, War",7.1
Run Silent Run Deep,1958,93 ,"Action, Drama, War",7.3
Teacher's Pet,1958,120 ,"Comedy, Romance",7.1
Boom Town,1940,119 ,"Drama, Romance, Western",7.0
Sister,2012,97 ,"Crime, Drama",7.0
Our Children,2012,111 ,"Crime, Drama",6.8
The Sessions,2012,95 ,"Biography, Comedy, Drama",7.2
